"코드.번호","CODE","회사명","업종.대.","업종.소.","코스피코스닥","국내여부"
"A005930",5930,"삼성전자","반도체 관련장비 및 부품","종합 반도체","코스피",1
"A000660",660,"SK하이닉스","반도체 관련장비 및 부품","종합 반도체","코스피",1
"A051910",51910,"LG화학","화학","종합 화학","코스피",1
"A005380",5380,"현대차","자동차 및 관련부품","완성차","코스피",1
"A068270",68270,"셀트리온","제약 및 바이오","바이오","코스피",1
"A005490",5490,"POSCO","철강 및 비철강","제철","코스피",1
"A207940",207940,"삼성바이오로직스","제약 및 바이오","바이오","코스피",1
"A051900",51900,"LG생활건강","가정용품","화장품","코스피",1
"A055550",55550,"신한지주","금융","은행","코스피",1
"A012330",12330,"현대모비스","자동차 및 관련부품","기타 자동차부품","코스피",1
"A028260",28260,"삼성물산","건설 및 건축자재","대형건설사","코스피",1
"A035420",35420,"NAVER","IT서비스","인터넷서비스","코스피",1
"A017670",17670,"SK텔레콤","통신","통신서비스","코스피",1
"A015760",15760,"한국전력","유틸리티","전력","코스피",1
"A034730",34730,"SK","통신","통신서비스","코스피",1
"A105560",105560,"KB금융","금융","은행","코스피",1
"A018260",18260,"삼성에스디에스","IT서비스","시스템서비스","코스피",1
"A096770",96770,"SK이노베이션","석유 및 가스","정유","코스피",1
"A032830",32830,"삼성생명","금융","생명보험","코스피",1
"A000270",270,"기아차","자동차 및 관련부품","완성차","코스피",1
"A006400",6400,"삼성SDI","IT 장비 및 소재","2차전지","코스피",1
"A033780",33780,"KT&G","식음료","식료품","코스피",1
"A000810",810,"삼성화재","금융","손해보험","코스피",1
"A003550",3550,"LG","전기 및 전자기기","전자기기","코스피",1
"A066570",66570,"LG전자","전기 및 전자기기","전자기기","코스피",1
"A086790",86790,"하나금융지주","금융","은행","코스피",1
"A090430",90430,"아모레퍼시픽","가정용품","화장품","코스피",1
"A036570",36570,"엔씨소프트","미디어 및 엔터","게임","코스피",1
"A251270",251270,"넷마블","미디어 및 엔터","게임","코스피",1
"A011170",11170,"롯데케미칼","화학","종합 화학","코스피",1
"A010950",10950,"S-Oil","전기 및 전자기기","정유","코스피",1
"A316140",316140,"우리금융지주","금융","은행","코스피",1
"A091990",91990,"셀트리온헬스케어","제약 및 바이오","바이오","코스닥",1
"A010130",10130,"고려아연","철강 및 비철강","아연","코스피",1
"A035720",35720,"카카오","IT서비스","인터넷서비스","코스피",1
"A009540",9540,"현대중공업","조선","조선","코스피",1
"A009150",9150,"삼성전기","IT 장비 및 소재","스마트폰 부품","코스피",1
"A024110",24110,"기업은행","금융","은행","코스피",1
"A034220",34220,"LG디스플레이","디스플레이 장비 및 부품","디스플레이 부품","코스피",1
"A030200",30200,"KT","통신","통신서비스","코스피",1
"A021240",21240,"웅진코웨이","가정용품","가전제품","코스피",1
"A035250",35250,"강원랜드","레저산업","카지노","코스피",1
"A032640",32640,"LG유플러스","통신","통신서비스","코스피",1
"A004020",4020,"현대제철","철강 및 비철강","제철","코스피",1
"A018880",18880,"한온시스템","자동차 및 관련부품","공조부품","코스피",1
"A000720",720,"현대건설","건설 및 건축자재","대형건설사","코스피",1
"A002790",2790,"아모레G","가정용품","화장품","코스피",1
"A267250",267250,"현대중공업지주","석유 및 가스","정유","코스피",1
"A128940",128940,"한미약품","제약 및 바이오","제약","코스피",1
"A010140",10140,"삼성중공업","조선","조선","코스피",1
"A004990",4990,"롯데지주","식음료","식료품","코스피",1
"A035760",35760,"CJ ENM","미디어 및 엔터","미디어","코스닥",1
"A006800",6800,"미래에셋대우","금융","증권","코스피",1
"A086280",86280,"현대글로비스","운송 및 물류","육상운송","코스피",1
"A023530",23530,"롯데쇼핑","유통","백화점","코스피",1
"A008930",8930,"한미사이언스","제약 및 바이오","제약","코스피",1
"A078930",78930,"GS","석유 및 가스","정유","코스피",1
"A161390",161390,"한국타이어앤테크놀로지","자동차 및 관련부품","타이어","코스피",1
"A005830",5830,"DB손해보험","금융","손해보험","코스피",1
"A097950",97950,"CJ제일제당","식음료","식료품","코스피",1
"A139480",139480,"이마트","유통","유통","코스피",1
"A215600",215600,"신라젠","제약 및 바이오","바이오","코스닥",1
"A081660",81660,"휠라코리아","섬유 및 의류","의류","코스피",1
"A036460",36460,"한국가스공사","유틸리티","도시가스","코스피",1
"A084990",84990,"헬릭스미스","제약 및 바이오","바이오","코스닥",1
"A005940",5940,"NH투자증권","금융","증권","코스피",1
"A029780",29780,"삼성카드","금융","기타 금융","코스피",1
"A271560",271560,"오리온","식음료","식료품","코스피",1
"A012750",12750,"에스원","IT서비스","보안서비스","코스피",1
"A008770",8770,"호텔신라","유통","면세점","코스피",1
"A000120",120,"CJ대한통운","운송 및 물류","육상운송","코스피",1
"A071050",71050,"한국금융지주","금융","증권","코스피",1
"A282330",282330,"BGF리테일","유통","편의점","코스피",1
"A009830",9830,"한화케미칼","에너지","태양광","코스피",1
"A001040",1040,"CJ","식음료","식료품","코스피",1
"A086900",86900,"메디톡스","가정용품","화장품","코스닥",1
"A047810",47810,"한국항공우주","기계","우주항공","코스피",1
"A003670",3670,"포스코케미칼","철강 및 비철강","광물","코스닥",1
"A088350",88350,"한화생명","금융","생명보험","코스피",1
"A001450",1450,"현대해상","금융","손해보험","코스피",1
"A028300",28300,"에이치엘비","제약 및 바이오","바이오","코스닥",1
"A006360",6360,"GS건설","건설 및 건축자재","대형건설사","코스피",1
"A000210",210,"대림산업","건설 및 건축자재","대형건설사","코스피",1
"A002380",2380,"KCC","건설 및 건축자재","페인트","코스피",1
"A028050",28050,"삼성엔지니어링","건설 및 건축자재","대형건설사","코스피",1
"A016360",16360,"삼성증권","금융","증권","코스피",1
"A004170",4170,"신세계","유통","면세점","코스피",1
"A241560",241560,"두산밥캣","기계","기계","코스피",1
"A008560",8560,"메리츠종금증권","금융","증권","코스피",1
"A003410",3410,"쌍용양회","건설 및 건축자재","시멘트 및 레미콘","코스피",1
"A042660",42660,"대우조선해양","조선","조선기자재","코스피",1
"A000100",100,"유한양행","제약 및 바이오","제약","코스피",1
"A003490",3490,"대한항공","운송 및 물류","항공운송","코스피",1
"A011780",11780,"금호석유","화학","합성고무","코스피",1
"A007070",7070,"GS리테일","유통","편의점","코스피",1
"A079440",79440,"오렌지라이프","금융","생명보험","코스피",1
"A030000",30000,"제일기획","미디어 및 엔터","광고","코스피",1
"A011070",11070,"LG이노텍","IT 장비 및 소재","카메라모듈","코스피",1
"A000060",60,"메리츠화재","금융","손해보험","코스피",1
"A007310",7310,"오뚜기","식음료","식료품","코스피",1
"A253450",253450,"스튜디오드래곤","미디어 및 엔터","미디어","코스닥",1
"A017800",17800,"현대엘리베이","기계","기계","코스피",1
"A010620",10620,"현대미포조선","조선","조선","코스피",1
"A263750",263750,"펄어비스","미디어 및 엔터","게임","코스닥",1
"A010060",10060,"OCI","에너지","태양광","코스피",1
"A069960",69960,"현대백화점","유통","백화점","코스피",1
"A000880",880,"한화","에너지","태양광","코스피",1
"A138930",138930,"BNK금융지주","금융","은행","코스피",1
"A028670",28670,"팬오션","운송 및 물류","해상운송","코스피",1
"A047050",47050,"포스코인터내셔널","일반서비스","무역","코스피",1
"A009240",9240,"한샘","가정용품","가구","코스피",1
"A069620",69620,"대웅제약","제약 및 바이오","제약","코스피",1
